song_id,arousal,valence
1001,3.8,4.4
1002,3.2,4.5
1003,3.3,5.3
1004,4.7,3.8
1005,5.1,5.4
1006,4.4,4.6
1007,5.4,5.2
1008,5.4,6.0
1009,3.7,3.5
1010,6.5,6.5
1011,3.0,4.5
1012,2.9,4.3
1013,3.5,3.2
1014,4.5,4.9
1015,6.3,5.9
1016,1.9,3.3
1017,3.8,4.1
1018,2.5,3.7
1019,2.8,4.3
1020,2.5,3.4
1021,4.8,6.2
1022,3.3,3.3
1023,2.3,2.9
1024,2.9,3.2
1025,6.1,5.1
1026,2.8,3.7
1027,3.8,4.6
1028,4.8,4.5
1029,4.5,3.9
1030,5.2,5.7
1031,5.0,4.8
1032,4.1,3.3
1033,5.6,5.3
1034,2.8,3.3
1035,4.2,4.3
1036,3.0,4.8
1037,4.4,5.0
1038,4.1,5.0
1039,4.6,6.3
1040,5.3,6.2
1041,5.4,5.6
1042,4.3,5.0
1043,5.0,4.9
1044,6.1,7.1
1045,3.1,4.4
1046,5.0,5.6
1047,4.4,5.3
1048,6.7,5.0
1049,6.7,5.3
1050,5.8,6.0
1051,5.3,5.2
1052,6.6,5.5
1053,6.3,4.5
1054,6.3,3.7
1055,6.3,3.7
1056,5.0,4.2
1057,7.1,4.7
1058,5.8,4.0
1059,7.5,4.7
1060,6.1,5.2
1061,6.2,6.5
1062,4.3,4.1
1063,6.4,5.2
1064,7.1,5.2
1065,6.4,6.0
1066,5.5,6.1
1067,3.4,4.0
1068,5.3,5.9
1069,5.6,4.3
1070,5.8,5.2
1071,5.3,6.5
1072,5.5,6.3
1073,3.8,5.2
1074,6.4,6.8
1075,6.6,6.4
1076,5.0,6.0
1077,4.8,6.4
1078,6.0,6.8
1079,5.6,6.9
1080,5.0,6.0
1081,3.5,5.0
1082,6.4,6.7
1083,6.6,6.1
1084,3.4,5.1
1085,5.2,6.1
1086,4.3,5.9
1087,6.4,6.0
1088,6.6,7.3
1089,6.6,6.4
1090,6.6,5.6
1091,5.8,5.7
1092,6.3,5.8
1093,6.0,5.8
1094,6.3,6.4
1095,6.2,6.2
1096,3.6,3.8
1097,5.4,5.5
1098,6.3,6.8
1099,5.9,5.7
1100,5.6,6.3
1101,2.4,3.7
1102,4.5,2.3
1103,3.5,3.6
1104,4.4,4.2
1105,3.7,3.8
1106,3.9,3.0
1107,3.2,3.0
1108,3.7,4.8
1109,2.4,4.2
1110,5.4,5.1
1111,2.9,3.2
1112,2.3,3.1
1113,3.0,3.4
1114,3.3,3.4
1115,3.9,4.4
1116,3.0,5.7
1117,3.4,4.2
1118,1.9,4.0
1119,2.1,3.4
1120,2.8,3.4
1121,2.3,3.9
1122,5.4,6.8
1123,3.1,3.1
1124,5.1,5.4
1125,3.0,4.9
1126,3.2,3.9
1127,3.0,3.4
1128,2.7,3.7
1129,2.4,3.5
1130,3.1,3.8
1131,3.4,4.5
1132,3.4,4.6
1133,2.4,5.0
1134,2.1,4.1
1135,2.7,3.1
1136,3.4,4.5
1137,4.2,4.3
1138,3.7,4.4
1139,2.5,5.1
1140,5.4,5.9
1141,3.6,4.5
1142,2.1,3.2
1143,5.1,3.8
1144,4.6,3.7
1145,2.4,4.7
1146,3.4,2.6
1147,3.6,4.6
1148,3.0,3.4
1149,2.6,4.0
1150,2.3,4.1
1151,5.6,5.0
1152,5.6,6.1
1153,2.5,3.9
1154,4.4,3.9
1155,4.3,4.2
1156,5.6,7.0
1157,6.1,6.9
1158,6.2,6.2
1159,6.0,5.8
1160,5.4,6.4
1161,2.5,4.1
1162,3.8,3.6
1163,5.3,6.2
1164,3.1,3.6
1165,2.8,3.5
1166,3.3,4.6
1167,2.8,3.6
1168,3.3,4.4
1169,2.8,3.9
1170,2.1,3.1
1171,1.9,3.6
1172,2.5,3.9
1173,4.0,4.3
1174,3.3,3.6
1175,3.4,3.7
1176,2.7,4.9
1177,3.3,5.2
1178,4.5,4.9
1179,4.1,3.4
1180,2.6,3.3
1181,4.4,3.7
1182,2.2,2.7
1183,3.2,3.7
1184,2.3,4.2
1185,4.8,6.2
1186,1.9,3.7
1187,4.1,4.4
1188,3.3,4.7
1189,3.2,4.8
1190,2.2,3.5
1191,2.6,4.4
1192,2.9,3.7
1193,3.9,4.4
1194,2.5,3.4
1195,4.0,4.2
1196,2.7,3.8
1197,2.8,3.9
1198,1.8,3.5
1199,3.5,4.5
1200,3.6,3.2
1201,5.5,6.0
1202,2.7,4.1
1203,3.4,4.0
1204,5.5,6.6
1205,5.7,6.0
1206,5.8,5.1
1207,3.4,4.7
1208,4.6,6.2
1209,2.7,4.4
1210,2.4,3.8
1211,4.7,5.5
1212,2.7,3.5
1213,2.8,3.1
1214,5.3,6.2
1215,5.6,6.2
1216,5.3,5.5
1217,2.6,3.9
1218,4.1,3.9
1219,2.2,4.3
1220,2.2,3.6
1221,5.3,5.4
1222,3.2,4.1
1223,5.6,4.6
1224,6.8,6.2
1225,4.6,3.4
1226,3.8,3.9
1227,5.7,4.7
1228,3.3,5.4
1229,4.3,5.2
1230,3.7,5.3
1231,6.5,5.5
1232,6.3,6.9
1233,4.8,5.5
1234,3.0,4.6
1235,5.8,4.9
1236,4.9,4.5
1237,3.3,4.1
1238,5.1,5.5
1239,6.7,6.3
1240,2.6,2.7
1241,3.7,4.1
1242,4.3,4.7
1243,5.7,5.8
1244,3.7,4.6
1245,5.3,6.4
1246,3.1,4.5
1247,6.3,4.4
1248,3.0,3.7
1249,5.6,5.1
1250,7.4,7.0
1251,6.3,6.9
1252,5.1,5.2
1253,3.0,4.1
1254,6.2,4.7
1255,2.0,3.4
1256,5.5,5.7
1257,3.8,5.0
1258,5.6,5.7
1259,2.8,3.6
1260,6.5,7.2
1261,3.1,3.8
1262,4.8,4.5
1263,5.1,5.8
1264,3.6,4.6
1265,5.5,5.8
1266,5.1,5.6
1267,3.7,4.5
1268,3.7,5.3
1269,4.4,3.5
1270,5.3,4.6
1271,4.7,4.6
1272,3.2,4.0
1273,5.6,4.8
1274,5.4,6.0
1275,2.8,3.5
1276,5.5,4.8
1277,2.2,2.9
